"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:13VdKqBE8m6EGFr5BHMLTX","Welcome To The Occupation - Remastered","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:65kIVEdb93smbnC7k4aie7","Document - 25th Anniversary Edition","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1987-09-01","https://i.scdn.co/image/ab67616d0000b273135322c78a93ff9b1f392c3a","1","2","168746","https://p.scdn.co/mp3-preview/849272e4d18efbaf6589e1461e13332b310d34b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USCA21202397","spotify:user:sebastianelisapfeifer","2021-07-21T19:53:41Z"
"spotify:track:6HhVHZTzhjvS5erfCm4roh","Eminence Front","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:7ISmM3vnNkZ7EWkaiH6hBH","It's Hard","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1982-09-04","https://i.scdn.co/image/ab67616d0000b273673c1ad682db7d3c66176a7a","1","6","340240","https://p.scdn.co/mp3-preview/c8c99fbb464cd272a9ae3ba3e9cb65866d068a8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAKW8200124","spotify:user:sebastianelisapfeifer","2021-07-21T19:54:36Z"
"spotify:track:5MxNLUsfh7uzROypsoO5qe","Dream On","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:19lEZSnCCbVEkKchoPQWDZ","Aerosmith","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1973-01-05","https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e","1","3","266960","","false","27","USSM10011897","spotify:user:sebastianelisapfeifer","2021-07-21T19:56:48Z"
"spotify:track:7uHO4AmKtyGa5v5fsElGoC","You Spin Me Round (Like a Record)","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","spotify:album:6d5tBL8NLw1Jdhr8D2w3PF","Youthquake","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","1985-03-26","https://i.scdn.co/image/ab67616d0000b2730a9a606015c3eda4843520bd","1","1","199666","","false","2","GBBBM8502013","spotify:user:sebastianelisapfeifer","2021-07-21T19:56:54Z"
"spotify:track:4ljmExi3J7rg1hFWvI9dgF","Lobbyisten-Reggae","spotify:artist:4vWQjpI68kWBNkXOEbi1D6","Rainhard Fendrich","spotify:album:6mbqJtukk0x9VX5VHkwM6Z","Lobbyisten-Reggae","spotify:artist:4vWQjpI68kWBNkXOEbi1D6","Rainhard Fendrich","2012-01-23","https://i.scdn.co/image/ab67616d0000b273b5f3ec0d8e88e1a8b0b1b354","1","1","196200","https://p.scdn.co/mp3-preview/be3c5bd6d79eb0baab1832b590d607c5101010da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","DEA811101126","spotify:user:sebastianelisapfeifer","2021-07-21T19:59:12Z"
"spotify:track:5zCzkiBuv4AQ5MFL5c8GrN","Spancilhill","spotify:artist:3Ebn7mKYzD0L3DaUB1gNJZ","Christy Moore","spotify:album:2dPHQqJI79mQkXCgfBWAvA","Magic Nights","spotify:artist:3Ebn7mKYzD0L3DaUB1gNJZ","Christy Moore","2019-11-22","https://i.scdn.co/image/ab67616d0000b273f68de864d3942b1861029cfb","1","13","324240","https://p.scdn.co/mp3-preview/fb35d4635ba2a10f22867800bbede066b0f8bfea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","IEAQO1900017","spotify:user:sebastianelisapfeifer","2021-07-21T19:59:50Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:4Fgf6RvuWpiwDXSE7Vammx","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/89200c908d805e98dd40aedf35f25a563713ffa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB19901792","spotify:user:sebastianelisapfeifer","2021-07-21T20:01:43Z"
"spotify:track:1xDYdcZliVU2UA225POWpw","Rain","spotify:artist:0DLfONSFG8AA0cQvh1yCrz","Project Pitchfork","spotify:album:7pwGzC514Pohr45X9ap1C9","Black","spotify:artist:0DLfONSFG8AA0cQvh1yCrz","Project Pitchfork","2013-01-25","https://i.scdn.co/image/ab67616d0000b273a007c5cadd2d76cb8aa8bd9e","1","5","310694","https://p.scdn.co/mp3-preview/b51c2a295dad3d24a1775fb01c48859ecc9ce769?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEZ901300026","spotify:user:sebastianelisapfeifer","2021-07-21T20:02:22Z"
"spotify:track:2wJ2oinGR4C23su7ZeqVdT","Nine While Nine","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:0m2z3FmoowUGY4Gwu9y7nh","First and Last and Always Collection","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","1985-01-01","https://i.scdn.co/image/ab67616d0000b273a86b38c060c9d527588ed716","1","8","250466","https://p.scdn.co/mp3-preview/7eb91a56fad6c0a8ac01d2819b0e7292b9dd8da1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAHS0104742","spotify:user:sebastianelisapfeifer","2021-07-21T20:08:10Z"
"spotify:track:1hwJKpe0BPUsq6UUrwBWTw","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:2sIWM1FzNqLCccNwXuC4SA","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004","https://i.scdn.co/image/ab67616d0000b27397e3ca5aecb464f021c601d5","1","1","261266","https://p.scdn.co/mp3-preview/c5a93c0c3653c44d63c2d0e4ca0bc7a18865fc5a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRE10401426","spotify:user:sebastianelisapfeifer","2021-07-21T20:08:21Z"
