"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:4oG4KKcyD6E5S6pxpN32IK","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:3fG66EBBPGC0yBhpXQs8l8","Thank You For The Music","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1994-01-01","https://i.scdn.co/image/ab67616d0000b2735f96e866b646da41248009d0","2","12","261933","https://p.scdn.co/mp3-preview/f3ea4501f6ebc349199829b2e2128628cdbeb38b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SEUM70500201","spotify:user:eva0.0","2023-06-26T12:23:55Z"
"spotify:track:3WMbD1OyfKuwWDWMNbPQ4g","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","1","208600","https://p.scdn.co/mp3-preview/03e2b60a6a5c101dc0d41866f2e079d8de4a663b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DEC737600002","spotify:user:eva0.0","2023-06-27T18:19:21Z"
"spotify:track:7DcFnnx39xo51joJJea2QB","Butterfly","spotify:artist:0Khn06ciCEk0SvcdZty81P","SMiLE.dk","spotify:album:5QZy3RVRGy7b1twjGLkAVr","Dub-I-Dub","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Verschiedene Interpreten","2005-09-26","https://i.scdn.co/image/ab67616d0000b273a525d02367a8347a894cf8a9","1","9","177453","https://p.scdn.co/mp3-preview/585ef394deed4737baf35d8dce71ba450d09ea81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DKABA9814003","spotify:user:sebastianelisapfeifer","2023-07-04T09:52:08Z"
"spotify:track:46RVKt5Edm1zl0rXhPJZxz","Down Under","spotify:artist:0f3EsoviYnRKTkmayI3cux","Men At Work","spotify:album:6GYIy1SuhPDrugCZ5yNeQy","The Best Of Men At Work: Contraband","spotify:artist:0f3EsoviYnRKTkmayI3cux","Men At Work","1996-02-01","https://i.scdn.co/image/ab67616d0000b273d6a1f7a12629154fa274631f","1","2","220866","https://p.scdn.co/mp3-preview/495cef21e5710283a62c8e0663689d5f56e12fec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM18100058","spotify:user:sebastianelisapfeifer","2023-07-08T19:21:09Z"
"spotify:track:0SdfUMRHhcjxrMv5d9V1UP","Go West - Original Version 1979","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","spotify:album:3iF4amlNW1yd9DoZ9WOD1i","Go West In the Navy","spotify:artist:0dCKce6tJJdHvlWnDMwzPW","Village People","1979","https://i.scdn.co/image/ab67616d0000b273e387a0b68cda521a1cc7a743","1","2","250880","https://p.scdn.co/mp3-preview/ce44e4c76016da10852a3efed0babf56cb1cd1a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FR6V80878841","spotify:user:sebastianelisapfeifer","2023-07-11T04:16:46Z"
"spotify:track:7MwwPyZJ7UKFROj2oVnH6R","Caramelldansen","spotify:artist:73r19TWxqEnnFf6O1u1e92","Caramella Girls","spotify:album:5zvb76rGpvP8oDE2n3tytx","Supergott (Speedy Mixes)","spotify:artist:73r19TWxqEnnFf6O1u1e92","Caramella Girls","2008-01-05","https://i.scdn.co/image/ab67616d0000b27339a6368dd1efeaea760d1d46","1","1","175333","https://p.scdn.co/mp3-preview/8106970dacbd2e6e1bb1fb5a668a38ddb65ee313?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","SERJR0805021","spotify:user:sebastianelisapfeifer","2023-07-18T13:14:25Z"
"spotify:track:0ikz6tENMONtK6qGkOrU3c","Wake Me Up Before You Go-Go","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","spotify:album:02f3y3NTsddjdUMoNiBppI","Make It Big","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","1984-10-23","https://i.scdn.co/image/ab67616d0000b273a2fc41b0dd6ce4f0d16a4c46","1","1","231333","https://p.scdn.co/mp3-preview/48ce25ff385552880371a3c460f0b90ecbcfceea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBBBN0009712","spotify:user:sebastianelisapfeifer","2023-08-27T09:39:57Z"
"spotify:track:2n9Ni9TFPcNHCdoPOQKXZ6","Everytime We Touch - Remastered","spotify:artist:2IqcwWZoG2iCPE9CkHMO8f","Maggie Reilly","spotify:album:5rHKmkINMBlzw7pMozJig7","Echoes (Deluxe Version Remastered)","spotify:artist:2IqcwWZoG2iCPE9CkHMO8f","Maggie Reilly","2019-05-10","https://i.scdn.co/image/ab67616d0000b2732fb332eb36fa829343508b00","1","1","244533","https://p.scdn.co/mp3-preview/744566776e9691a57389beaba8787815c16a995c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBMUJ1900001","spotify:user:sebastianelisapfeifer","2023-08-27T15:27:23Z"
"spotify:track:2TxCwUlqaOH3TIyJqGgR91","Mamma Mia","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1kM6xcSYO5ASJaWgygznL7","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2","1","1","213266","https://p.scdn.co/mp3-preview/b578f8867804a1545b49ef6aea52bd0b8ec766d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","SEAYD7501010","spotify:user:sebastianelisapfeifer","2023-12-31T15:29:26Z"
"spotify:track:0GjEhVFGZW8afUYGChu3Rr","Dancing Queen","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1V6a99EbTTIegOhWoPxYI9","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0","1","2","230400","https://p.scdn.co/mp3-preview/1116076e3d1538852d6605ada1fd7130c8fc75a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","SEAYD7601020","spotify:user:sebastianelisapfeifer","2023-12-31T15:29:43Z"
"spotify:track:5fdhThPDe6jQQDqCyWrdAn","Jolene","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","spotify:album:2v2iR6vtrLVTyiNIEsv5Sg","Jolene (Expanded Edition)","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1974","https://i.scdn.co/image/ab67616d0000b27314021e9ab9da5813bc6791cb","1","1","161533","https://p.scdn.co/mp3-preview/66cd00686ab84843e560ae024e60e8bf0fba786d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRN19600096","spotify:user:eva0.0","2024-01-04T09:26:50Z"
"spotify:track:4w3tQBXhn5345eUXDGBWZG","9 to 5","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","spotify:album:64Ky1tqKPfwxhJs6msphWd","9 To 5 And Odd Jobs","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1980","https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec","1","1","162466","https://p.scdn.co/mp3-preview/6384764199bf3d44f69085d62e10a076855ac8c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRN19400384","spotify:user:eva0.0","2024-01-04T09:26:54Z"
"spotify:track:6sT9MWlJManry3EQwf4V80","Push It","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","spotify:album:5QFYPgLGw6DYz8S3TrLM2d","Hot, Cool & Vicious","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","1986-12-08","https://i.scdn.co/image/ab67616d0000b273a90317b8d96c0b3f5e9c5e3d","1","1","272133","https://p.scdn.co/mp3-preview/f56d6242c6fa9a995407dae416afd1585d8b5193?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USIR20180482","spotify:user:sebastianelisapfeifer","2024-03-19T08:52:58Z"
