"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:4jDWgxcreqJIFes5Hd5Ln7","Flannigan's Ball","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0woGEtg6EaW4YpDz2Dv235","The Meanest of Times","2007-09-17","1","8","219280","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:3Co33SF1EOVjhCF58GCq2X","Fairmount Hill","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:0woGEtg6EaW4YpDz2Dv235","The Meanest of Times","2007-09-17","1","10","238400","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:0spU8cIE8h5IM3wl9FT5YR","Black Friday Rule","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","spotify:album:17DfzMvhWL7EjCdqWpqj9P","Swagger","2000-03-07","1","8","421106","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:2DPrCpQlpwWGJSPJJtLTyY","Devil's Dance Floor","spotify:artist:5kQGFREO5FzMBMsAO3cEtj","Flogging Molly","spotify:album:17DfzMvhWL7EjCdqWpqj9P","Swagger","2000-03-07","1","10","239653","false","0","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:1sGhxJcpTOqzVp0AXGZLjz","You Better You Bet","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:77b4BdkePCrwFj3Cnj4hsA","Face Dances","1981-03-16","1","1","338560","false","0","spotify:user:sebastianelisapfeifer","2017-03-07T17:37:12Z"
"spotify:track:0EF4KrU0dJ0lBEkqMyzlIi","Love Reign O'er Me","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:3JV6BIIXo3mj6GLIGH9p8a","Quadrophenia","1973-10-19","2","4","347666","false","45","spotify:user:sebastianelisapfeifer","2017-03-07T17:37:12Z"
"spotify:track:1zGk1kgAxCpg6PHjGuLe4J","Pinball Wizard","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:5V71sHQYacjPbHlLsLmk7i","Tommy (Remastered 2013 Super Deluxe Edition)","1969-05-23","1","13","180943","false","0","spotify:user:sebastianelisapfeifer","2017-03-07T17:37:12Z"
"spotify:track:3m6KkYKdnbffMpGd9Pm9FP","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:0rRNLpdA8nA8Sm8Fk490b9","Elephant","2003-04-01","1","1","231920","false","3","spotify:user:sebastianelisapfeifer","2017-03-14T14:43:09Z"
"spotify:track:6XXxkAAmnrc1LI0HMP4tOj","Jolene (Live Under Blackpool Lights)","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:4uptroCN0VrQnc4jB0V8BX","Jolene (Live Under Blackpool Lights)","2004-11-15","1","1","198880","false","0","spotify:user:sebastianelisapfeifer","2017-03-17T10:31:56Z"
"spotify:track:7FmCuUt3Jw28qNvUa4acEz","Mother's Little Helper","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:0z2AF60sMpBcIrWh797cBi","Flowers","1967-06-26","1","9","166346","false","37","spotify:user:sebastianelisapfeifer","2017-03-17T10:36:26Z"
"spotify:track:21TzvRORDFMAxLScMKDu2e","First and Last and Always","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:2wOuYERNvxVipFb2JlwvwA","First and Last and Always","1985-01-01","1","6","255226","false","38","spotify:user:sebastianelisapfeifer","2017-03-23T17:18:49Z"
"spotify:track:3xoTGSzIuC0EY4r9ZHBke6","Never Land (A Fragment) - Remastered","spotify:artist:4HxBVyHaUa60eCSsJWxwWR","Sisters of Mercy","spotify:album:7eLzF93T0FDx4hkuQ4juEj","Floodland (Remastered & Expanded; Deluxe Version)","1987","1","8","169439","false","27","spotify:user:sebastianelisapfeifer","2017-03-23T17:18:49Z"
"spotify:track:1J5ZenaZCJLsiEjgoGkoPh","Blue And Lonesome","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:4g9Jfls8z2nbQxj5PiXkiy","Blue & Lonesome","2016-12-02","1","3","187306","false","0","spotify:user:sebastianelisapfeifer","2017-03-29T13:02:37Z"
"spotify:track:3bxZsAbXwPNBX4I7b36XRm","Whiskey, Mystics and Men - Version #1, Recorded at Elektra Studios, 1970","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:4wsbOwqXuuYw8c32ZGvGj5","Behind Closed Doors - The Rarities","2013-05-03","1","12","148600","false","28","spotify:user:sebastianelisapfeifer","2017-05-24T06:02:30Z"
"spotify:track:6kRz6Juetg9FgBm7PB1jDl","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:6guCvI0bp0HVPhIIiKzvYj","Master Of Puppets","1986-03-03","1","2","515240","false","0","spotify:user:sebastianelisapfeifer","2017-06-21T18:54:55Z"
"spotify:track:0lIoY4ZQsdn5QzhraM9o9u","Because the Night","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","spotify:album:1p6cWoueuunhpgy6131zAd","Easter","1978","1","3","204800","false","68","spotify:user:sebastianelisapfeifer","2017-06-21T19:03:41Z"
"spotify:track:7tFiyTwD0nx5a1eklYtX2J","Bohemian Rhapsody - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:6X9k3hSsvQck2OfKYdBbXr","A Night At The Opera (Deluxe Remastered Version)","1975-11-21","1","11","354320","false","75","spotify:user:sebastianelisapfeifer","2017-06-21T19:04:13Z"
"spotify:track:5QTxFnGygVM4jFQiBovmRo","(Don't Fear) The Reaper","spotify:artist:00tVTdpEhQQw1bqdu8RCx2","Blue Öyster Cult","spotify:album:6C9WzlQANeoD0GW5B41YJt","Agents Of Fortune","1976","1","3","308120","false","77","spotify:user:sebastianelisapfeifer","2017-06-21T19:04:54Z"
"spotify:track:57fqmDaokbxZ3TaB0jp39q","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:2ivNJLSx8Rbvnsvcn01Yt3","Holy Diver","1983","1","2","353786","false","61","spotify:user:sebastianelisapfeifer","2017-06-21T19:05:41Z"
"spotify:track:0qgrrDnUUhyxpxbBznUnzg","18 and Life","spotify:artist:4opTS86dN9uO313J9CE8xg","Skid Row","spotify:album:0kSTuMp9GpX9pJR45Bksgi","Skid Row","1989-01-24","1","5","229960","false","70","spotify:user:sebastianelisapfeifer","2017-06-21T19:05:44Z"
"spotify:track:2RaA6kIcvomt77qlIgGhCT","Breaking the Law","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:5bqtZRbUZUxUps8mrO9tGY","British Steel","1980","1","3","153840","false","71","spotify:user:sebastianelisapfeifer","2017-06-21T19:05:46Z"
"spotify:track:6qn5Ysxo9H4z4QgEvwg1SK","Easy Livin'","spotify:artist:45O9BwPMyywM755SYUK0sP","Uriah Heep","spotify:album:0kOW78XBGL598LEvB2JjAz","Demons and Wizards (Deluxe Edition)","1972-05-19","1","3","156626","false","50","spotify:user:sebastianelisapfeifer","2017-06-21T19:06:56Z"
"spotify:track:0MRs5O62wfDgf5cQKalrPq","Pictures of Matchstick Men - Mono Version","spotify:artist:4gIdjgLlvgEOz7MexDZzpM","Status Quo","spotify:album:6GjmCt1jb9IiOTw106Xa4W","Picturesque Matchstickable Messages from the Status Quo","1968-09-27","1","12","190600","false","54","spotify:user:sebastianelisapfeifer","2017-06-21T19:07:22Z"
"spotify:track:3MXA2BkBk0lSuMpRoM7SK2","The Trooper - 1998 Remastered Version","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1CmH2OG9IxRZTtmMXFlVoh","Piece of Mind (1998 Remastered Version)","1983","1","5","250946","false","0","spotify:user:sebastianelisapfeifer","2017-06-21T19:07:28Z"
