"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:4q6bSpQPptaC9uIqmu5GEw","Mama - Remastered 2007","spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","spotify:album:2u0T1xzCoI7ANxWDEj9yl6","Genesis","spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","1983-10-03","https://i.scdn.co/image/ab67616d0000b273dc9d54ec465b4f79df7423d5","1","1","412253","https://p.scdn.co/mp3-preview/e092d7cd74467388af79a18945aef5de1e5e021b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","GBAAA0700784","spotify:user:sebastianelisapfeifer","2024-06-28T13:57:18Z"
"spotify:track:6PPPZzAk4Zv8y7sLa5B7i3","Which Side Are You On?","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","spotify:album:65eF0YOsmOoQGrPxz72ni0","Sing Loud, Sing Proud","spotify:artist:7w9jdhcgHNdiPeNPUoFSlx","Dropkick Murphys","2001","https://i.scdn.co/image/ab67616d0000b273afbf7dce726df490b260e8f2","1","3","148613","https://p.scdn.co/mp3-preview/796d389e53d604699c12c6c7233b94c1e6f0872f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USHEL0306303","spotify:user:sebastianelisapfeifer","2024-06-28T13:58:29Z"
"spotify:track:0tZ3mElWcr74OOhKEiNz1x","Bulls On Parade","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:24E6rDvGDuYFjlGewp4ntF","Evil Empire","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1996-04-16","https://i.scdn.co/image/ab67616d0000b273053f006079bce979e5fef1e1","1","2","229466","https://p.scdn.co/mp3-preview/c1626784be02379a8ec2fa5f7d7f735c1eda772b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSM19502563","spotify:user:sebastianelisapfeifer","2024-06-28T13:58:42Z"
"spotify:track:0mzqrv0bY7d5ECDfsRMUpf","The Press Corpse","spotify:artist:30sqtiTKIb1oDve0SdYayT","Anti-Flag","spotify:album:3B3gJszXnaDZMz8YVRZ1J2","For Blood And Empire","spotify:artist:30sqtiTKIb1oDve0SdYayT","Anti-Flag","2006","https://i.scdn.co/image/ab67616d0000b273ac1ff56d09fb0bc775aab21a","1","2","200440","https://p.scdn.co/mp3-preview/b87d77a4ed0ee995f7caa09e4ad9def9bc361fab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRC10503702","spotify:user:sebastianelisapfeifer","2024-06-28T13:58:55Z"
"spotify:track:59WN2psjkt1tyaxjspN8fp","Killing In The Name","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:4Io5vWtmV1rFj4yirKb4y4","Rage Against The Machine - XX (20th Anniversary Special Edition)","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1992","https://i.scdn.co/image/ab67616d0000b27354ab617bc2d4974ab6ffbece","1","2","313573","https://p.scdn.co/mp3-preview/998d3604b68754c11bc0a9af64291ac1f91fb0d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USSM11205433","spotify:user:sebastianelisapfeifer","2024-06-28T13:59:06Z"
"spotify:track:0snQkGI5qnAmohLE7jTsTn","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27307bc7d2a745636c356b4d0aa","1","12","218933","https://p.scdn.co/mp3-preview/7a1ac1f1f9af931e9c735aa1474352042981b5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM10107262","spotify:user:sebastianelisapfeifer","2024-06-28T13:59:21Z"
"spotify:track:3K4HG9evC7dg3N0R9cYqk4","One Step Closer","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:6hPkbAV3ZXpGZBGUvL6jVM","Hybrid Theory (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2000-10-24","https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a","1","2","157333","https://p.scdn.co/mp3-preview/93915a6ffff1e702717623fe052e781e68bde91b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB10002399","spotify:user:sebastianelisapfeifer","2024-06-28T13:59:28Z"
"spotify:track:6Y2kW1mdHE0znPCjtOdt5m","Empty Walls","spotify:artist:0BEI7i5sgUuivcfwXLzFmM","Serj Tankian","spotify:album:6lEk9mHyHXxINEhTyFuYrz","Elect the Dead (Deluxe)","spotify:artist:0BEI7i5sgUuivcfwXLzFmM","Serj Tankian","2007-10-16","https://i.scdn.co/image/ab67616d0000b2734803dc88ae15cc228778477a","1","1","230026","https://p.scdn.co/mp3-preview/dc8cd772854c66727581cc54a624c1197f114a16?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USRE10701678","spotify:user:sebastianelisapfeifer","2024-06-28T13:59:35Z"
"spotify:track:1r1fPuhj9H4VdXr7OK6FL5","CASTLE OF GLASS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4XHIjbhjRmqWlosjj5rqSI","LIVING THINGS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2012-06-19","https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4","1","6","205400","https://p.scdn.co/mp3-preview/4a1db9ba57b75cd319509e90d45045668ed3a575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB11200795","spotify:user:sebastianelisapfeifer","2024-06-28T13:59:53Z"
"spotify:track:1Z1pFCLtQof3Qlq1ApMAQc","Boy Sinister","spotify:artist:0nGkRbjHNrPwbjseJ2pckm","The Merry Thoughts","spotify:album:7nOefMeAUUBtNmJ6ocvFaq","Second Generation","spotify:artist:0nGkRbjHNrPwbjseJ2pckm","The Merry Thoughts","2011-06-07","https://i.scdn.co/image/ab67616d0000b273a80e36603c3b789589336784","1","4","210837","https://p.scdn.co/mp3-preview/b8e3a49ee9ec7b8aca07f9a64e27a2ff170d61c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","CAAD21110493","spotify:user:sebastianelisapfeifer","2024-06-28T14:00:02Z"
