"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:6OMO6WdRhSfjMPAiPT94wH","Painkiller","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","spotify:album:0YkHsU3Mblh7jvNngbV20W","Human","spotify:artist:2xiIXseIJcq3nG7C8fHeBj","Three Days Grace","2015-03-30","https://i.scdn.co/image/ab67616d0000b27305ef30ca2c4f8909c5f36e82","1","2","179160","https://p.scdn.co/mp3-preview/0c24c3201e30ed4e8269a554a6afde76954b0800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC11400506","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:17Z"
"spotify:track:0SnvI0twJ1Mnh0rJlBRrf0","Voices","spotify:artist:6MwPCCR936cYfM1dLsGVnl","Motionless In White","spotify:album:5ucBd1GYFRg0uVhP4a4AY6","Graveyard Shift","spotify:artist:6MwPCCR936cYfM1dLsGVnl","Motionless In White","2017-05-05","https://i.scdn.co/image/ab67616d0000b27320bfa6114be3fcada3b5b3e3","1","8","224000","https://p.scdn.co/mp3-preview/2248362d453a8d3277239eb108570a618e88c5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321700013","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:23Z"
"spotify:track:0gchQwxmBWj5no8NJ8b2yH","Sleepwalking","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:6IYPmM3xsOPL2XPSvf1ZAz","Sempiternal (Expanded Edition)","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2013-04-01","https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830","1","4","230093","https://p.scdn.co/mp3-preview/f0f45ee8366e3aa2484c7019eb7ed77562a7bc02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBARL1202418","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:34Z"
"spotify:track:16gpk3oHK8Ela7QbRNGjJd","Hypnotize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:1UeOoLhpWzpuM5cWQsbCXg","Hypnotize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2005-11-18","https://i.scdn.co/image/ab67616d0000b273a2982eadad9b21912ed6c2e8","1","4","189440","https://p.scdn.co/mp3-preview/6277e28d03d6dcf155c8de82733a23fcbd9fcd70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM10505330","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:40Z"
"spotify:track:0fX9KPa0i9RGDI59gI90i9","Vermilion","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:4ZDBQSIDIZRUBOG2OHcN3T","Vol. 3: The Subliminal Verses","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2004","https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a","1","8","316666","https://p.scdn.co/mp3-preview/0c568951b8da602790f4425c8d2a08b5a85978ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA320420821","spotify:user:sebastianelisapfeifer","2023-10-30T13:39:48Z"
"spotify:track:697M5JB8FDIyRXEXgl1pBZ","From the Inside","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-25","https://i.scdn.co/image/ab67616d0000b2738b5b6fa1326d996181e71dd7","1","10","175506","https://p.scdn.co/mp3-preview/0bc0c425210ac22919007076cff89b0d0ef01839?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB10300471","spotify:user:sebastianelisapfeifer","2023-10-30T13:40:12Z"
"spotify:track:5wBLDkxVvclanSitx5jq8e","Undead","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","spotify:album:2UYxjXHKm1JDT6JA7OSeR6","Swan Songs","spotify:artist:0CEFCo8288kQU7mJi25s6E","Hollywood Undead","2008-09-02","https://i.scdn.co/image/ab67616d0000b273e3a40a64f0473c111cf42b06","1","1","265053","https://p.scdn.co/mp3-preview/59ac0ee9af5c4b2629cd659f31dccd4b195080e1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUM70826489","spotify:user:sebastianelisapfeifer","2023-10-30T13:40:31Z"
"spotify:track:5FQXMRDSTkn9fowDJ3kZo8","You're Going Down","spotify:artist:7qAcXJgt1PWnxwUgxMdyuk","SICK PUPPIES","spotify:album:1lzHraZnbTovp0SL4aZD4R","Tri-Polar (International Version)","spotify:artist:7qAcXJgt1PWnxwUgxMdyuk","SICK PUPPIES","2009","https://i.scdn.co/image/ab67616d0000b2730bccc1eafb39ec9629368df6","1","5","187346","https://p.scdn.co/mp3-preview/69227274e99d057dc827dbbe23e2ba7b7ae555a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USVI20900226","spotify:user:sebastianelisapfeifer","2023-11-12T09:11:18Z"
"spotify:track:5mpUKTdskZea0gStWzeHUZ","Unsainted","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:754RY5WpZ2LTUZsk8kDBju","We Are Not Your Kind","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2019-08-09","https://i.scdn.co/image/ab67616d0000b27326f20b4d67c0c7b0f137ce4f","1","2","260773","https://p.scdn.co/mp3-preview/cd1a8cd8f5d7e08aed985c345e191bb0dda4793a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","NLA321900089","spotify:user:sebastianelisapfeifer","2023-11-12T09:11:22Z"
"spotify:track:4e9eGQYsOiBcftrWXwsVco","Aerials","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6jWde94ln40epKIQCd8XUh","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b27307bc7d2a745636c356b4d0aa","1","14","235053","https://p.scdn.co/mp3-preview/2d976be934bee2c82bf34d90e6fad29e197d0d69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USSM10107264","spotify:user:sebastianelisapfeifer","2023-11-12T09:11:32Z"
"spotify:track:1KCAEG6JcsTzi8ddZzs0nk","You Want a Battle? (Here's a War)","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","spotify:album:1YjxZhd158jSm2906JqzXF","Venom (Deluxe Edition)","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","2015-08-14","https://i.scdn.co/image/ab67616d0000b273b5836f92f626bb4fe05b016a","1","5","254613","https://p.scdn.co/mp3-preview/264625e3f992b420c0b1204a1ef0613224847cec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11501328","spotify:user:sebastianelisapfeifer","2023-11-12T09:33:13Z"
"spotify:track:39iRz0h1eZOyXzch8tKQit","CODE MISTAKE","spotify:artist:7yntSJ6uojO3z6GFUVwhAW, spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","CORPSE, Bring Me The Horizon","spotify:album:02V5iAi2paX4K7Z20R5lvl","CODE MISTAKE","spotify:artist:7yntSJ6uojO3z6GFUVwhAW, spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","CORPSE, Bring Me The Horizon","2023-06-30","https://i.scdn.co/image/ab67616d0000b27321ebe09152409f7272dead52","1","1","165303","https://p.scdn.co/mp3-preview/9fa9b3a13c8b145e4a26bb6cb19f642e8ad5d31f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QZMEQ2313559","spotify:user:eva0.0","2023-11-14T12:49:57Z"
"spotify:track:08KyVYfTxXxMk1zAIRDrQB","Bloody Knuckles","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","spotify:album:7x0i7WtY4KmuFrrX6EiKIW","Bloody Knuckles","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","2021-06-02","https://i.scdn.co/image/ab67616d0000b27350eb4fa23b445abb92f50d8c","1","1","205979","https://p.scdn.co/mp3-preview/9c3d2e3d533d4480e30fe070c3bf0f26d2071410?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USYFZ2154601","spotify:user:eva0.0","2023-11-14T12:52:11Z"
"spotify:track:02wWugZopNahlikfX5vm3F","Snuff","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:4vD8PvUW4UfSL9K4CspEzv","All Hope Is Gone","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2008-08-22","https://i.scdn.co/image/ab67616d0000b273ab3905dc81892ec0de89e091","1","11","276146","https://p.scdn.co/mp3-preview/ba0267aa7cbded813b752570471288e32614ae6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","NLA320887000","spotify:user:sebastianelisapfeifer","2023-11-15T10:57:51Z"
"spotify:track:0GzNE0vnQ7n8BjQVcihJuS","Love Her","spotify:artist:6B5c4sch27tWHAGdarpPaW","Seether","spotify:album:5qHjA0aU9vt9c2UwDeEGjS","Disclaimer II","spotify:artist:6B5c4sch27tWHAGdarpPaW","Seether","2004-01-01","https://i.scdn.co/image/ab67616d0000b27386482d4f400fa77a4fdb94e7","1","15","251466","https://p.scdn.co/mp3-preview/697ad0359a73fa5402b90b3231f1cc3adaf92d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USWU30400082","spotify:user:sebastianelisapfeifer","2023-11-15T10:58:00Z"
"spotify:track:1uuOvhl5YrDbeOPpsXVpjk","Nemo","spotify:artist:2NPduAUeLVsfIauhRwuft1","Nightwish","spotify:album:5mTVDlQ1RtJ15e5CljlCl0","Nemo","spotify:artist:2NPduAUeLVsfIauhRwuft1","Nightwish","2004-12-28","https://i.scdn.co/image/ab67616d0000b273b3ef4bee9c091d415ce6bb04","1","1","265453","https://p.scdn.co/mp3-preview/1d46a2b1d7640d876794a2b191df30bfeb7dee43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","DED830402091","spotify:user:sebastianelisapfeifer","2024-01-02T23:37:03Z"
"spotify:track:5dTHtzHFPyi8TlTtzoz1J9","Helena","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","spotify:album:3DuiGV3J09SUhvp8gqNx8h","Three Cheers for Sweet Revenge","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","2004-06-08","https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43","1","1","204733","https://p.scdn.co/mp3-preview/647498327cb13c79d81b76492d63cb71be579eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRE10400656","spotify:user:sebastianelisapfeifer","2024-01-18T07:54:52Z"
"spotify:track:3dxiWIBVJRlqh9xk144rf4","Breaking the Habit","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:0f7R0jf0pcTb6K6IVVPcMD","Meteora (Bonus Edition)","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-03-25","https://i.scdn.co/image/ab67616d0000b2738b5b6fa1326d996181e71dd7","1","9","196133","https://p.scdn.co/mp3-preview/c2d4c4690b3ac7dc7f8a1fe8d65c3629160f016a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USWB10300470","spotify:user:sebastianelisapfeifer","2024-01-18T07:55:15Z"
"spotify:track:6sqNctd7MlJoKDOxPVCAvU","My Happy Ending","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:7851Vsjv3apS52sXUik6iF","Under My Skin","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2004","https://i.scdn.co/image/ab67616d0000b2739c291af4bf0c3071847f2b80","1","6","242413","https://p.scdn.co/mp3-preview/152a7664beba40d2666fd5ec840ee5f8dfdfa8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USAR10400486","spotify:user:sebastianelisapfeifer","2024-01-18T07:55:37Z"
