"Track-URI","Track-Name","Künstler-URI(s)","Künstlername(n)","Album-URI","Album-Name","Album-Künstler-URI(s)","Album-Künstlername(n)","Veröffentlichungsdatum des Albums","Album-Bild-URL","Disc-Nummer","Track-Nummer","Track-Dauer (ms)","Track-Vorschau-URL","Explizit","Beliebtheit","ISRC","Hinzugefügt von","Hinzugefügt am"
"spotify:track:6Ge9WWJEIdtDV8XHKdocK8","Imitation Of Life","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:38gBuyoJskBvXDrMvPPaaA","Reveal","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","2001-05-14","https://i.scdn.co/image/ab67616d0000b2734a83826d9a1eb40dd944513e","1","8","237000","https://p.scdn.co/mp3-preview/4f46457aea49756f8e84c5e0cb2d2115480ea0b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USWB10100393","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:27Z"
"spotify:track:6PVMOFV7IjuP7LxulzSA43","Self Esteem","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:5SLfrjQtPxbh5Cf1dukV7g","Smash","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","1994-04-08","https://i.scdn.co/image/ab67616d0000b273987aac5fd569d644181ef83e","1","8","257826","https://p.scdn.co/mp3-preview/29a0dd6febfac9310051074de46eefbb7a6f5cbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USEP40312208","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:44Z"
"spotify:track:262K1mGye66ymrxtJ6Ff4r","Badillac","spotify:artist:29q1axQPERERxUzqufXMqB","Together Pangea","spotify:album:4VJGAU5yH56Z9zqGbllv0S","Badillac","spotify:artist:29q1axQPERERxUzqufXMqB","Together Pangea","2014-01-01","https://i.scdn.co/image/ab67616d0000b273d8bde439d1d126087abcb0ab","1","3","147880","https://p.scdn.co/mp3-preview/f1bea2267a584c956893b868e0e513005ff29d65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71314684","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:50Z"
"spotify:track:4g4Dk8laYcooe95uB8NE5G","Offer","spotify:artist:29q1axQPERERxUzqufXMqB","Together Pangea","spotify:album:4VJGAU5yH56Z9zqGbllv0S","Badillac","spotify:artist:29q1axQPERERxUzqufXMqB","Together Pangea","2014-01-01","https://i.scdn.co/image/ab67616d0000b273d8bde439d1d126087abcb0ab","1","6","146373","https://p.scdn.co/mp3-preview/b6294fb2cbaa974ccbc8fae3fe61ac7d9e756e15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71306386","spotify:user:sebastianelisapfeifer","2017-02-22T15:31:50Z"
"spotify:track:5vdp5UmvTsnMEMESIF2Ym7","Another One Bites The Dust - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:58alCatewkjNm9IM1Ucj67","The Game (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1980-06-27","https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba","1","3","214653","https://p.scdn.co/mp3-preview/3047625c0a8fbe66de7c4d18a1503608c397a37e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBUM71029605","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:13Z"
"spotify:track:03jhnLcIT8C4DhXnNecOZv","We Will Rock You","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:7kASxXIWWMoaHHS637Vome","I Love Dad","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Verschiedene Interpreten","2006-06-05","https://i.scdn.co/image/ab67616d0000b27300aadbe1dbe4be614a86221c","1","1","121706","https://p.scdn.co/mp3-preview/225649ce1c97a1025d827939b20cfdbee1a1f6f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBCEE0100127","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:13Z"
"spotify:track:4uGIJG1jYFonGc4LGp5uQL","Somebody to Love","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","spotify:album:6lPb7Eoon6QPbscWbMsk6a","Surrealistic Pillow","spotify:artist:2qFr8w5sWUITRlzZ9kZotF","Jefferson Airplane","1967","https://i.scdn.co/image/ab67616d0000b2736a74089537c2dbd548c4a95e","1","2","174840","https://p.scdn.co/mp3-preview/c1b28c7e0fe608d4b16216cd019f9db8b69cb11c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USRC10301008","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:2zSHYr17CBX8Ek6dLSc7Wt","Temple of the King - Live","spotify:artist:7yMqxge3rOuzpKVIoSQToG","Ritchie Blackmore's Rainbow","spotify:album:2Ky7JjaPH6YFCGU8u1yae7","Black Masquerade","spotify:artist:7yMqxge3rOuzpKVIoSQToG","Ritchie Blackmore's Rainbow","2013-08-23","https://i.scdn.co/image/ab67616d0000b273edf00e135b6531dafc6b84e0","1","10","364573","https://p.scdn.co/mp3-preview/24eb0ec27843c3cc9a4348ca2cff15bb93ab75a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCBR1300194","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:2fdfsGuqb6SBX5ocoBWHUd","The One I Love - Remastered 2012","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:65kIVEdb93smbnC7k4aie7","Document - 25th Anniversary Edition","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1987-09-01","https://i.scdn.co/image/ab67616d0000b273135322c78a93ff9b1f392c3a","1","7","197800","https://p.scdn.co/mp3-preview/9ddef5168a998cef35f71730e7f13c6e3809c0ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USCA21202402","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:59r3RpGxdF5lKDPvgIWTN5","Lady In Black - Single Version","spotify:artist:45O9BwPMyywM755SYUK0sP","Uriah Heep","spotify:album:5X7hrdQ3YWqM7lvAdiwUVI","Easy Livin' - The Singles A's & B's","spotify:artist:45O9BwPMyywM755SYUK0sP","Uriah Heep","2006","https://i.scdn.co/image/ab67616d0000b273bf767cdad156a78a66d2f772","1","6","211933","https://p.scdn.co/mp3-preview/f61b5e1855d69bb88bd4f5b1b389c29f00740de6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAJE0613195","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
"spotify:track:1RKUoGiLEbcXN4GY4spQDx","Clint Eastwood","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:0YsLR3SQd5QTXAhGIGX7cl","Gorillaz, Del The Funky Homosapien","spotify:album:4tUxQkrduOE8sfgwJ5BI2F","Gorillaz","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2001-03-26","https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe","1","5","340920","https://p.scdn.co/mp3-preview/5273a4def05afe6a5c27c352241a684c403f5b6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","GBAYE0001408","spotify:user:sebastianelisapfeifer","2017-02-22T15:32:59Z"
